	Description	Category
41	Оплата по Договору №В01819 от 22 декабря 2026г за акт 0465 транспортные услуги Сумма 11000.00Без налога(НДС)	TAX
42	Оплата за Средство Чистин Аромат Сирени чистящее 400г по счету 73050564831062509296 от 21.03.2026 г. Сумма 3730,00	TAX
43	Предоставление кредита по договору №23-00737А от 2028-02-16 (приобретение транспортного средства)	TAX
44	Оплата за Чайный напиток Greenfield Cherry Blossom с ароматом вишни 25х2г по счету 10604949522076249820 от 05.01.2025г Сумма 850-00	TAX
45	Оплата по Договору №10-01263 от 07/07/2025 за акты 0314 и 0335 (транспортные услуги)Сумма 38800-00В т.ч. НДС(20%) 6466-66	TAX
46	Оплата за Зефир Красная Цена ванильный 180г по счету 79376366668960547916 от 2025-05-15 Сумма 4810.00	TAX
47	Оплата за Мыло по счету 33901066778945122153 от 26.03.2028 г. Сумма 4580,00	TAX
48	Возмещение расходов на страхование ОСАГО по договору лизинга №189 от 03.02.2024 в сумме 8100,00, без НДС	TAX
49	За консультации юриста по договору №7-00738/33 от 2023-05-08	TAX
50	Возврат денежных средств по договору займа №373 от 26.02.2024г.. Без НДС	LOAN
51	Оплата за Кружка Пластишка детская в ассортименте 180мл по счету 89036727076431687439 от 2023.06.23 Сумма 2440,00	NON_FOOD_GOODS
52	Оплата за Размещение рекламы по счету 00407363845372991618 от 04.08.2024; Договор №А-00795/35 от 2026-11-22	TAX
53	Предоставление кредита по договору №А-03828/92 от 25.03.2023 (приобретение товаров длительного пользования)	TAX
54	За аренду машины/автомобиля по договору №246 от 22.05.2028	TAX
55	Оплата минеральной питьевой воды по счету 48827801414188975933 от 15.10.2024г Сумма 7300-00 без учета НДС	TAX
56	Оплата Дог №Е04249/42 от 17.06.2024 г., согл. Сч 0202-27 от 24.05.2024г. оплата за сброс загрязняющих веществ	TAX
57	Оплата по сч. 270 от 21.06.2026 г., за транспортные услуги НДС не облагается.	TAX
58	Предоставление кредита по договору №Г-02120/57 от 07/02/2025г. (приобретение транспортного средства)	TAX
59	Счет на оплату № 0522 от 23/11/2027г.г.МКР для фильтрпресса. Сумма 48400,00В т.ч. НДС(20%) 8066,66	TAX
60	Оплата за Средство Grass Azelit чистящее 600мл по счету 94521244041068867191 от 02/06/2024 Сумма 3380,00	TAX
61	Оплата по Договору 84.105863-АА от 13/09/2025за бухгалтерское сопровождение в счет задолженности	TAX
62	Оплата за Ананасы Красная цена кольца в сиропе 580мл по счету 88776387168049625664 от 29.09.2026 Сумма 4070.00	TAX
63	"Оплата по договору №09-01318Б от 08/04/2027г., счету 0477 от 08/04/2027г. за ""Дымовские колбасы"".Сумма 3890000-00 В т.ч. НДС 20% 648333-33"	TAX
64	Оплата гос. пошлины	TAX
65	За покупку авиабилетов г. Чита - г. Тольятти по договору №19-01431Е от 12/09/2026	TAX
66	За доставку водным транспортом из г. Рязань в г. Хасавюрт по договору №34-03771Б от 01 янврая 2023 г.	TAX
67	Доплата по счету №19-03907 от 25 февраля 2024 г. аренда помещения в марта 2024 г. Договор №87А-04316 от 22/09/2027	TAX
68	Оплата по договору №9-04352/60 от 26.10.2027г частичная оплата за картонСумма 37600.00В тч НДС(20%) 6266.66	TAX
69	Оплата за Яблоко сезонное по счету 54428002044672358860 от 28.01.2028 Сумма 2900,00	TAX
70	Оплата по договору процентного займа №А03464 от 16 июля 2023. Без НДС	TAX
71	"НДС от Комиссия АКБ ""Первый банк"" (АО) за изготовление по запросу клиента ведомости банковского контроля"	TAX
72	Оплата по счету 0807,0808,0809 от 04/11/2024г. (в рамках договора финансовой аренды №Г01199 от 29.10.2023). В т.ч. НДС(20%) 830000,0	TAX
73	Оплата за кофе в зернах по счету 18142049762802277973 от 22 марта 2028г Сумма 2260.00 в т.ч. НДС 20% 376.66	TAX
74	Предоставление денежных средств по договору займа №82-01492 от 09.06.2024г. Без НДС	TAX
75	оплата по счёту № 0625 от 19/03/2023г. за транспортные услугиСумма 800000-00В т.ч. НДС(20%) 133333-33	TAX
76	Оплата по договору №86-04785 от 25.03.2024г, счету 0762 от 25.03.2024г за мясные деликатесы. Сумма 41600.00 В т.ч. НДС 20% 6933.33	TAX
77	Комиссия за срочные платежи в валюте Российской Федерации на счета в другие кредитные организации	TAX
78	Оплата по Договору №Е02741 от 14 декабря 2028г за акты 0071 и 0207 (транспортные услуги)Сумма 44000,00В т.ч. НДС(20%) 7333,33	TAX
79	Оплата по догвору купли-продажи №27В-01099 от 15.01.2028г за виллу №25 по адресу г. Новошахтинск, Социалистическая ул., д. 5	TAX
80	Оплата за запасные части для оборудования по счету №0450 от 11/02/2024г.; Договор №22-02107Е от 2025-10-21	TAX
81	"Оплата основного долга за период с 18.02.2025г. по 24/03/2025 по Договору №20-00126 от 24.12.2024 г. с ОАО ""Второй банк"""	TAX
82	Оплата по счету #0563 от 2024.12.09 за яхту/катер Midnight Express FL06354	TAX
83	За бронирование отеля в г. Самара по договору №Б04217/82 от 11 сентября 2026	TAX
84	Выплата на содержание родных детей	TAX
85	Оплата по акту сверки б/н от 02.10.2024 (в рамках договора лизинга №22-01534 от 29 января 2023 г.). В т.ч. НДС(20%) 831666,66	TAX
86	Оплата за игристое вино Asti по договору №02158Г от 11.01.2027 .Сумма 1000000.00 В т.ч. НДС 20% 166666.66	TAX
87	Оплата штарфа	TAX
88	"Оплата по товарной накладной 0007 от 28.09.2026г. за конфеты ""Алёнка"".Сумма 43900.00 В т.ч. НДС 20% 7316.66"	TAX
89	За доставку водным транспортом из г. Северодвинск в г. Нижнекамск по договору №А04021/68 от 14 мая 2027г	TAX
90	Оплата по Счету 0042 от 13 июля 2027 за возмещаемые расходы Сумма 6700-00 в том числе НДС(20%) 1116-66	TAX
91	Комиссия за справку о наличии (отсутствии) ссудной задолженности по письменному запросу клиента	TAX
92	Лечение по договору №А02339/93 от 08.09.2027 г.	TAX
93	За медицинское обслуживание по договору №5-00127/80 от 14 ноября 2025г	TAX
94	Оплата за Протеиновый батончик Snaq Fabriq арахис и карамель глазированный 50г по счету 73999384022016066682 от 18/01/2026г. Сумма 4240.00	TAX
95	Оказание прочих услуг	TAX
96	Оплата за консультирование в сфере информационных технологий по договору №060 от 21.07.2026 г.	TAX
97	Возмещение расходов на страхование ОСАГО по договору лизинга №09А-04864 от 23.09.2024 в сумме 32100.00, без НДС	TAX
98	Оплата по договору лизинга №А02688 от 26.03.2024г., акт приема-передачи 0534 от 25/03/2024. В т.ч. НДС(20%) 666666-66	TAX
99	Оплата налоогв	TAX
100	"Оплата по договору №А01048 от 11.12.2027 г., счету 0462 от 11.12.2027 г. за ""Дымовские колбасы"".Сумма 3520000-00 В т.ч. НДС 20% 586666-66"	TAX
101	Оплата Дог б/н от 12.12.2023г, согл. Сч 0405-27 от 19 декабря 2024 г. оплата за сброс загрязняющих веществ	TAX
102	Пополнение оборотных средств. НДС не облагается.	TAX
103	Оплата за Крем чистящий Cif Актив Лимон универсальный для кухни и ванной 100% удаление грязи 500мл по счету 18116935375421832301 от 2028-08-04 Сумма 770-00	TAX
104	Оплата за консультирование в сфере информационных технологий по договору №347 от 06.09.2025 г.	TAX
105	Оплата Дог №Г-02857/64 от 26.11.2024г, согл. Сч 0348-27 от 29.03.2024 г. оплата за сброс загрязняющих веществ	TAX
106	Оплата за 500 штук новогодних шоколадных подарков по счету 0654 от 11.02.2024г. .Сумма 44100,00 В т.ч. НДС 20% 7350,0	TAX
107	Оплата за Сковорода Гардарика Гранит c утолщенным дном из лиотго алюминия 24см по счету 96251928590783106579 от 15.08.2025г. Сумма 4900.00	TAX
108	оплата по договору №73-03558Б от 20 марта 2024 за ЖКТМСумма 4900000,00В т.ч. НДС(20%) 816666,66	TAX
109	Оплата за нут,сафлор по счету 0365,0366,0367 от 09 сентября 2024 г. .Сумма 4210000,00 В т.ч. НДС 20% 701666,66	TAX
110	За оказание услуг по договору №Е-03859/53 от 31/01/2024г.	TAX
111	Оплата за ж/д, авиабилеты и проживание по счету 12620150964472105940 от 13 ноября 2027 на основании договора №Б01914/27 от 09 сентября 2026	TAX
112	Оплата за насосы по договору №66Е-00291 от 31/08/2023 (частичная оплата).Сумма 4960000-00В тч НДС(20%) 826666-66	TAX
113	Оплата по договору процентного займа №68-00611 от 2024-03-25. Без НДС	TAX
114	Оплата по счету #0713 от 03.11.2026 г. за яхту/катер Midnight Express FL06354	TAX
115	Оплата за консультирование в сфере информационных технологий по договору №8-02268/41 от 02.01.2028г	TAX
116	Оплата по договору процентного займа №Б-00237/82 от 25.06.2023г. Без НДС	TAX
117	За гостиницу (Россия, г. Якутск)	TAX
118	Перевод себе	TAX
119	Оплата за Порошок стиральный Персил Color Свежесть от Vernel 3кг по счету 09179444891581792602 от 11 июня 2026г Сумма 3520.00	TAX
120	Оплата за Сумка-тележка на колесах 85х33х27.5см по счету 11076678473092359266 от 14.05.2023г Сумма 4720,00	TAX
121	Оплата по догвору купли-продажи №59В-01509 от 22 октября 2027 за виллу №13 по адресу г. Белгород, Почтовая ул., д. 8	TAX
122	"НДС от Комиссия АКБ ""Первый банк"" (АО) за выполнение функции агента валютного контроля за з/п № 526 от 30 июля 2024 г."	TAX
123	Оплата по Договору №Е03889/92 от 05 мая 2025г за акт 0390 транспортные услуги Сумма 48800-00Без налога(НДС)	TAX
124	Покупка орг.техники	TAX
125	Оплата по договору лизинга №122 от 05.05.2023г, акт приема-передачи 0185 от 02.04.2024. В т.ч. НДС(20%) 691666.66	TAX
126	Паевой взнос в жилищно-строительный кооператив с целью приобретения права собственности на жилое помещение по адресу г. Нефтекамск, Новоселов ул., д. 10	TAX
127	По предвариельному договору №68А-03906 от 17.07.2027 г. за квартиру в ЖК по адресу г. Норильск, Октябрьская ул., д. 23	TAX
128	"Оплата основного долга за период с 12/11/2026 по 08.01.2023г. по Договору 81.103048-БГ от 15.08.2023г. с ОАО ""Второй банк"""	TAX
129	За оказание услуг по договору №444 от 15.03.2023	TAX
130	Оплата по договору процентного займа (20%) №75Д-02041 от 20.01.2024 г.. Без НДС	TAX
131	Возврат денежных средств по договору займа №15Е-03742 от 14.08.2024 г.. Без НДС	TAX
132	Оплата за Варенье Варенька малиновое 380г по счету 80928785960481773755 от 28.01.2025 Сумма 550.00	TAX
133	Оплата Дог №10-00194 от 10.07.2024, согл. Сч 0118-27 от 2024-03-20 оплата за сброс загрязняющих веществ	TAX
134	Оплата за Шоколад Alpen Gold молочный 80г по счету 16053095664796546475 от 04.07.2026 Сумма 4950.00	TAX
135	За тур.поездку по договору №225 от 23.01.2025г.	TAX
136	Комиссия за организацию сделки по дог. лизинга №97-04495. Сумма 28 июня 2023г, в т.ч. НДС 20% 1060.00	TAX
137	Оплата за Крем Бархатные ручки Питательный для рук с маслом ши 80мл по счету 46699071649869948590 от 15 апреля 2028г Сумма 2610-00	TAX
138	Комиссия за организацию сделки по дог. лизинга №А-04797/81. Сумма 2025.05.03, в т.ч. НДС 20% 3470,00	TAX
139	За участие в конференции в г. Кемерово по договору №6-00713/25 от 07.11.2024 г.	TAX
140	По предвариельному договору №7-01066/38 от 16 января 2026г за квартиру в ЖК по адресу г. Нижний Тагил, Лесная ул., д. 24	TAX
141	Оплата по договору процентного займа (20%) б/н от 2024-06-17. Без НДС	TAX
142	Оплата за Козинаки AgroSputnik Богучарские 250г по счету 35859416995176708180 от 27.01.2024г. Сумма 1410.00	TAX
143	Оплата по договору №28-04612 от 18 августа 2025, за сырьё для пищевой промышленности в т.ч. НДС 20% 303333-33	TAX
144	Оплата за ж/д, авиабилеты и проживание по счету 43179783222231030064 от 29.04.2028г на основании договора №А-01368/30 от 2028.07.15	TAX
145	За медицинское обслуживание по договору №Б02801/69 от 04.08.2028г	TAX
146	Оплата за Чайный напиток Принцесса Ява Каркадэ 80г по счету 65901228486126237910 от 15.04.2027 Сумма 4810.00	TAX
147	Оплата за Маска Koreain Pearl Yeast Activating Mask увлажняющая тканевая с экстрактом жемчуга 25мл по счету 31290464504082050089 от 29 декабря 2025 г. Сумма 1590.00	TAX
148	Оплата по счету № 0821 от 29.09.2025г. за аренду помещения по договору субаренды №Д04171/55 от 04.10.2023 г.	TAX
149	Оплата за Средство чистящее Liberhaus лимонная свежесть для унитаза в ассортименте 55г по счету 80579383604739352381 от 05 апреля 2027 Сумма 3360-00	TAX
150	Приобретение недвижимости по адресу г. Мытищи, Луговой пер., д. 20 по договору №Г-04497/37 от 16 июня 2024г	TAX
151	Оплата за Газета КОМСОМОЛЬСКАЯ ПРАВДА еженедельная по счету 60944431645377951587 от 07.05.2023г. Сумма 1240,00	TAX
152	Оплата Дог №9-01230/09 от 29.06.2020, согл. Сч 0519-27 от 27 сентября 2024 г. оплата за сброс загрязняющих веществ	TAX
153	Оплата за запасные части для оборудования по счету №0519 от 23.10.2024 г.; Договор №В01214 от 12 декабря 2023г	TAX
154	Оплата за Размещение рекламы по счету 88255346241170285047 от 29.08.2023; Договор №Д-01694/34 от 24.08.2024г.	TAX
155	Оплата по сч. 0042 от 2028.03.19 за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94	TAX
156	государственная полшина	TAX
157	Оплата по счетам 0885,0886,0887 от 21 сентября 2028 г. (за бетон марки М300)Сумма 9700.00 В т.ч. НДС 20% 1616.66	TAX
158	Оплата по Договору №08-01611 от 08 мая 2025 за акты 0144 и 0445 (транспортные услуги)Сумма 7900.00В т.ч. НДС(20%) 1316.66	TAX
159	За транспортировку, перевозка грузовым транспортом из г. Южно-Сахалинск в г. Ставрополь по договору №42-01554Е от 22 октября 2024	TAX
160	За консультации юриста по договору №76-00373 от 30/11/2026г.	TAX
161	Оплата за Бананы Выгодно фасованные по счету 93660848637644303088 от 13/01/2023 Сумма 510-00	TAX
162	Оплата за Сумка Арт и Дизайн текстильная дизайн в ассортименте по счету 98608091627255617864 от 07.05.2025г Сумма 4920-00	TAX
163	Оплата по договору процентного займа (20%) №62Г-02739 от 01.01.2024г.. Без НДС	TAX
164	Оплата по договору процентного займа (20%) №Б00677 от 01 августа 2023. Без НДС	TAX
165	Оплата за Хлопья овсяные Селяночка Геркулес 500г по счету 75706274804665162432 от 01.08.2023г. Сумма 4030.00	TAX
166	Оплата по товарой накладной за 100 штук пачек кофе Lavaza по счету 0000 от 05 июня 2024г .Сумма 23700,00 В т.ч. НДС 20% 3950,0	TAX
167	Предоставление денежных средств по договору займа №5-00113/89 от 15 деакбря 2024 г.. Без НДС	TAX
168	Оплата по договору процентного займа (20%) №491 от 23.03.2023г. Без НДС	TAX
169	Оплата по сч. 550 от 16.10.2028г, за транспортные услуги НДС не облагается.	TAX
170	Оплата за Кофе Жокей По-восточному натуральный жареный молотый 250г по счету 49657879066223471439 от 2025.05.30 Сумма 1350-00	TAX
171	Оплата по счету #0028 от 13 апреля 2023 за яхту/катер Midnight Express FL06354	TAX
172	Оплата Дог №02135Е от 25 сентября 2023 г., согл. Сч 0818-27 от 07.02.2024г. оплата за сброс загрязняющих веществ	TAX
173	Оплата по Счету 0915 от 30/11/2024 за банковские сборы Сумма 1810,00 Без налога (НДС)	TAX
174	Оплата минеральной питьевой воды по счету 72733915549004537247 от 2023-07-23 Сумма 6000.00 без учета НДС	TAX
175	Оплата за ж/д, авиабилеты и проживание по счету 95124941610756708196 от 24.09.2025г на основании договора №03562Д от 05 марта 2026г	TAX
176	Оплата дог №7-00842/63 от за 09/24г.согл.сч 0524 от 25.09.24г.,счет-фактура 0239 от 26.09.2024г.	TAX
177	Доплата по счету №12Б-01339 от 07.10.2023 аренда помещения в сентября 2024 г. Договор №3-01030/58 от 26.02.2025	TAX
178	Возврат денежных средств по договору займа №5-00295/55 от 16.08.2024г. Без НДС	TAX
179	За покупку авиабилетов г. Кемерово - г. Батайск по договору №А04475/93 от 05.10.2025г.	TAX
180	Оплата по дог.финансовой аренды №Б03500 от 25/03/2024, акт приема-передачи 26 от 04.04.2024г. В т.ч. НДС(20%) 508333-33	TAX
181	Оплата по акту сверки б/н от 13 июня 2024г (в рамках договора лизинга №74А-04746 от 02.03.2024). В т.ч. НДС(20%) 235000-00	TAX
182	Оплата за Салфетки Tolli Plus Зеленый чай влажные освежающие 20шт по счету 47240234671080895635 от 11.08.2024г. Сумма 4030.00	TAX
183	Оплата по договору №8-00697/51 от 09 октября 2025 частичная оплата за картонСумма 30000,00В тч НДС(20%) 5000,0	TAX
184	За медицинское обслуживание по договору №68Г-02159 от 25.05.2026 г.	TAX
185	Покупка продовольственных товаров	TAX
186	Оплата по сч. 0344 от 28.08.2026 за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94	TAX
187	Оплата за Ананасы Global Village кольца 580г по счету 10563059949153422430 от 04/07/2027г. Сумма 4900-00	TAX
188	Оплата за кофе в зернах по счету 13224816219068868750 от 2023-09-06 Сумма 4130,00 в т.ч. НДС 20% 688,33	TAX
189	Предоставление денежных средств по договору займа №97Д-04989 от 14/06/2024г.. Без НДС	TAX
190	Оплата по счет-фактуре 0192,0193,0194 от 06.03.2025 за фитинги,метизы.Сумма 25900.00 В т.ч. НДС 20% 4316.66	TAX
191	оплата по счетам 0382, 0204,0142, 0178 за услугиСумма 22.09.2028г.В т.ч. НДС(20%) 25000.00	TAX
192	Оплата по Договору №Е02041 от 13 декабря 2023 г. за акт 0347 транспортные услуги Сумма 42500.00Без налога(НДС)	TAX
193	Лечение по договору №02301Г от 26 февраля 2026г	TAX
194	Оплата за запчасти по договору поставки №80А-03731 от 09.02.2024 г. (ГБД 0938 АО Автодом Ауди по счету №0031	TAX
195	Оплата за Уксус Рестория яблочный 6% 500мл по счету 47999186621888697963 от 27.06.2023 Сумма 1150.00	TAX
196	Оплата за ж/д, авиабилеты и проживание по счету 47609071263062583110 от 15/06/2027г. на основании договора №86-04049 от 2027.08.27	TAX
197	За гостиницу (Россия, г. Великий Новгород)	TAX
198	За бронирование отеля в г. Иваново по договору №21-01125Б от 2028.02.01	TAX
199	Окончательный расчет по акту приема-передачи №0753 от 03.03.2024г (договор лизинга №В02475/72 от 14.02.2023г). В т.ч. НДС(20%) 140000.0	TAX
200	Возмещение расходов на страхование ОСАГО по договору лизинга №1-04654/57 от 30/04/2025 в сумме 44500-00, без НДС	TAX
201	Оплата по дог.финансовой аренды №84Е-03034 от 03.11.2024г., акт приема-передачи 715 от 04 июля 2024 г.. В т.ч. НДС(20%) 555000,0	TAX
202	Долевое инвестирование в жилищное строительство	TAX
203	оплата по счёту № 0189 от 18.08.2028г. за транспортные услугиСумма 2570000-00В т.ч. НДС(20%) 428333-33	TAX
204	За участие в конференции в г. Миасс по договору б/н от 18.07.2026 г.	TAX
205	Оплата Дог №01126Д от 28/11/2022, согл. Сч 0606-27 от 03.11.2024 оплата за сброс загрязняющих веществ	TAX
206	Оплата за Средство чистящее Sanfor Белизна 3в1 многофункциональное 700г по счету 79711718719873039052 от 11 янавря 2023 Сумма 4040,00	TAX
207	Оплата по счету 0098 от 01.12.2025 за Red Bull. Сумма 41800-00 без учета НДС	TAX
208	Оплата по акту сверки б/н от 03.07.2024 (в рамках договора лизинга №Е03071/99 от 15.09.2023 г.). В т.ч. НДС(20%) 431666,66	TAX
209	Оплата по договору процентного займа №Д01246 от 28 октября 2023г. Без НДС	TAX
210	Оплата по договору процентного займа №04125А от 24.09.2023 г.. Без НДС	TAX
211	Оплата по дог.финансовой аренды №14-04125В от 23 сентября 2024, акт приема-передачи 742 от 27 октября 2024. В т.ч. НДС(20%) 403333.33	TAX
212	Предоставление кредита по договору №Д02030 от 12 февраля 2028 г. (приобретение транспортного средства)	TAX
213	Окончательный расчет по акту приема-передачи №0036 от 12 марта 2024 г. (договор лизинга №36-01737А от 26.11.2025 г.). В т.ч. НДС(20%) 770000.0	TAX
214	оплата по счетам 0824, 0889,0834, 0140 за услугиСумма 19/08/2024г.В т.ч. НДС(20%) 20700,00	TAX
215	Оплата за Газета ТЕЛЕК PRESSA.RU по счету 72077344041803752862 от 05/03/2023 Сумма 2790.00	TAX
216	"Оплата по договору №Г00616 от 28 января 2026г, счету 0523 от 28 января 2026г за ""Дымовские колбасы"".Сумма 4660000-00 В т.ч. НДС 20% 776666-66"	TAX
217	Оплата за Мюсли Matti Банан и шоколад 250г по счету 42689526924298859119 от 15 декабря 2027г Сумма 3620-00	TAX
218	Комиссия за организацию сделки по дог. лизинга №02700Г. Сумма 05.02.2025, в т.ч. НДС 20% 1280-00	TAX
219	Счет на оплату № 0523 от 24 января 2024г.МКР для фильтрпресса. Сумма 31200.00В т.ч. НДС(20%) 5200.0	TAX
220	Оплата Дог №Б04079 от 29.11.2020г, согл. Сч 0858-27 от 25.06.2024 оплата за сброс загрязняющих веществ	TAX
221	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н б/н	TAX
222	Оплата за Губка для обуви Econta черная 25г по счету 06288799891185339979 от 07 сентября 2023 Сумма 540.00	TAX
223	Оплата за Конфеты Frutzone Ананас, лимон, малина, черная смородина жевательные по счету 52760320108654233103 от 06 июня 2026г Сумма 4690,00	TAX
224	Оплата по договору №Б04211 от 05.05.2023г., за сырьё для пищевой промышленности в т.ч. НДС 20% 251666.66	TAX
225	Оплата за запчасти по договору поставки №3-01701/11 от 09.03.2024 г. (ГБД 0032 АО Автодом Ауди по счету №0792	TAX
226	"Оплата по договору 95.310628-ВД от 11 мая 2027г, счету 0294 от 11 мая 2027г за ""Дымовские колбасы"".Сумма 1120000.00 В т.ч. НДС 20% 186666.66"	TAX
227	Оплата по договору процентного займа 82.203534-ВД от 15/01/2024г.. Без НДС	TAX
228	{В681780}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 50640440478084101455	TAX
229	Оплата за консультирование в сфере информационных технологий по договору б/н от 04.04.2026	TAX
230	Оплата по Договору №02803Е от 28 июля 2023 г.за бухгалтерское сопровождение в счет задолженности	TAX
231	Предоставление кредита по договору №473 от 05 ноября 2027 г. (приобретение транспортного средства)	TAX
232	Оплата по сч. 493 от 04.11.2026, за транспортные услуги НДС не облагается.	TAX
233	Оплата за Шампунь и гель для душа Рексона men Мужской 2в1 горный лёд 490мл по счету 29102706048197277505 от 2027-04-10 Сумма 3090-00	TAX
234	Паевой взнос в жилищно-строительный кооператив с целью приобретения права собственности на жилое помещение по адресу г. Якутск, Первомайская ул., д. 23	TAX
235	Оплата за Размещение рекламы по счету 49841077381099834911 от 28.04.2024 г.; Договор №63-00956В от 11.10.2025г.	TAX
236	Оплата по Договору 64.493127-ВГ от 2027.07.02 за акты 0297 и 0215 (транспортные услуги)Сумма 19500-00В т.ч. НДС(20%) 3250-00	TAX
237	За транспортировку, перевозка грузовым транспортом из г. Домодедово в г. Электросталь по договору №233 от 2024.12.05	TAX
238	Оплата по договору процентного займа №Б01169 от 21.01.2024г. Без НДС	TAX
239	Оплата по договору №В02479 от 22.11.2027г. частичная оплата за картонСумма 25200-00В тч НДС(20%) 4200-00	TAX
240	Оплата по счету #0560 от 02 июня 2023 г. за яхту/катер Midnight Express FL06354	TAX
241	"Комиссия АКБ ""Первый банк"" (АО) за выдачу носителей ключей ЭП по системе ""Интернет-Клиент"". НДС не облагается"	TAX
242	Оплата минеральной питьевой воды по счету 86545455166580297407 от 11/11/2023 Сумма 20700.00 без учета НДС	TAX
243	Оплата за Цикорий Большая чашка черничный растворимый 85г по счету 67110569572684942000 от 28/10/2025г. Сумма 1850,00	TAX
244	Оплата за Средство для мытья посуды Fairy сочный лимон 450мл по счету 44093969034155312703 от 08 мая 2025 Сумма 1560.00	TAX
245	Оплата за Порошок стиральный Ariel Color automat 3кг по счету 62209440936939539482 от 02.08.2028 Сумма 3990.00	TAX
246	Окончательный расчет по акту приема-передачи №0949 от 09/02/2024 (договор лизинга №Е04377/64 от 21.02.2023). В т.ч. НДС(20%) 786666,66	TAX
247	Оплата Дог №321 от 2020.06.01, согл. Сч 0205-27 от 2024.05.03 оплата за сброс загрязняющих веществ	TAX
248	Оплата по дог.финансовой аренды №245 от 19.12.2023, акт приема-передачи 949 от 17.12.2024 г.. В т.ч. НДС(20%) 298333,33	TAX
