description,mislead_category,predicted_category
"По предвариельному договору №68А-03906 от 17.07.2027 г. за квартиру в ЖК по адресу г. Норильск, Октябрьская ул., д. 23",TAX,REAL_ESTATE
За оказание услуг по договору №444 от 15.03.2023,TAX,SERVICE
Оплата за Варенье Варенька малиновое 380г по счету 80928785960481773755 от 28.01.2025 Сумма 550.00,TAX,FOOD_GOODS
Оплата за Шоколад Alpen Gold молочный 80г по счету 16053095664796546475 от 04.07.2026 Сумма 4950.00,TAX,FOOD_GOODS
За тур.поездку по договору №225 от 23.01.2025г.,TAX,SERVICE
Оплата за Крем Бархатные ручки Питательный для рук с маслом ши 80мл по счету 46699071649869948590 от 15 апреля 2028г Сумма 2610-00,TAX,NON_FOOD_GOODS
За участие в конференции в г. Кемерово по договору №6-00713/25 от 07.11.2024 г.,TAX,SERVICE
"По предвариельному договору №7-01066/38 от 16 января 2026г за квартиру в ЖК по адресу г. Нижний Тагил, Лесная ул., д. 24",TAX,REAL_ESTATE
Оплата за Козинаки AgroSputnik Богучарские 250г по счету 35859416995176708180 от 27.01.2024г. Сумма 1410.00,TAX,FOOD_GOODS
"Оплата по договору №28-04612 от 18 августа 2025, за сырьё для пищевой промышленности в т.ч. НДС 20% 303333-33",TAX,FOOD_GOODS
"Оплата за ж/д, авиабилеты и проживание по счету 43179783222231030064 от 29.04.2028г на основании договора №А-01368/30 от 2028.07.15",TAX,SERVICE
За медицинское обслуживание по договору №Б02801/69 от 04.08.2028г,TAX,SERVICE
Оплата за Чайный напиток Принцесса Ява Каркадэ 80г по счету 65901228486126237910 от 15.04.2027 Сумма 4810.00,TAX,FOOD_GOODS
Оплата за Маска Koreain Pearl Yeast Activating Mask увлажняющая тканевая с экстрактом жемчуга 25мл по счету 31290464504082050089 от 29 декабря 2025 г. Сумма 1590.00,TAX,NON_FOOD_GOODS
Оплата за Средство чистящее Liberhaus лимонная свежесть для унитаза в ассортименте 55г по счету 80579383604739352381 от 05 апреля 2027 Сумма 3360-00,TAX,NON_FOOD_GOODS
"Оплата за Газета КОМСОМОЛЬСКАЯ ПРАВДА еженедельная по счету 60944431645377951587 от 07.05.2023г. Сумма 1240,00",TAX,NON_FOOD_GOODS
Оплата за запасные части для оборудования по счету №0519 от 23.10.2024 г.; Договор №В01214 от 12 декабря 2023г,TAX,NON_FOOD_GOODS
Оплата за Размещение рекламы по счету 88255346241170285047 от 29.08.2023; Договор №Д-01694/34 от 24.08.2024г.,TAX,SERVICE
"Оплата по сч. 0042 от 2028.03.19 за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94",TAX,FOOD_GOODS
"Оплата по счетам 0885,0886,0887 от 21 сентября 2028 г. (за бетон марки М300)Сумма 9700.00 В т.ч. НДС 20% 1616.66",TAX,NON_FOOD_GOODS
Оплата по Договору №08-01611 от 08 мая 2025 за акты 0144 и 0445 (транспортные услуги)Сумма 7900.00В т.ч. НДС(20%) 1316.66,TAX,SERVICE
"За транспортировку, перевозка грузовым транспортом из г. Южно-Сахалинск в г. Ставрополь по договору №42-01554Е от 22 октября 2024",TAX,SERVICE
За консультации юриста по договору №76-00373 от 30/11/2026г.,TAX,SERVICE
Оплата за Бананы Выгодно фасованные по счету 93660848637644303088 от 13/01/2023 Сумма 510-00,TAX,FOOD_GOODS
Оплата за Сумка Арт и Дизайн текстильная дизайн в ассортименте по счету 98608091627255617864 от 07.05.2025г Сумма 4920-00,TAX,NON_FOOD_GOODS
Оплата за Хлопья овсяные Селяночка Геркулес 500г по счету 75706274804665162432 от 01.08.2023г. Сумма 4030.00,TAX,FOOD_GOODS
"Оплата по сч. 550 от 16.10.2028г, за транспортные услуги НДС не облагается.",TAX,SERVICE
Оплата за Кофе Жокей По-восточному натуральный жареный молотый 250г по счету 49657879066223471439 от 2025.05.30 Сумма 1350-00,TAX,FOOD_GOODS
Оплата по счету #0028 от 13 апреля 2023 за яхту/катер Midnight Express FL06354,TAX,NON_FOOD_GOODS
"Оплата по Счету 0915 от 30/11/2024 за банковские сборы Сумма 1810,00 Без налога (НДС)",TAX,BANK_SERVICE
"Оплата за ж/д, авиабилеты и проживание по счету 95124941610756708196 от 24.09.2025г на основании договора №03562Д от 05 марта 2026г",TAX,SERVICE
"Оплата дог №7-00842/63 от за 09/24г.согл.сч 0524 от 25.09.24г.,счет-фактура 0239 от 26.09.2024г.",TAX,NOT_CLASSIFIED
"Оплата по дог.финансовой аренды №Б03500 от 25/03/2024, акт приема-передачи 26 от 04.04.2024г. В т.ч. НДС(20%) 508333-33",TAX,LEASING
Оплата за Салфетки Tolli Plus Зеленый чай влажные освежающие 20шт по счету 47240234671080895635 от 11.08.2024г. Сумма 4030.00,TAX,NON_FOOD_GOODS
"Оплата по договору №8-00697/51 от 09 октября 2025 частичная оплата за картонСумма 30000,00В тч НДС(20%) 5000,0",TAX,NON_FOOD_GOODS
За медицинское обслуживание по договору №68Г-02159 от 25.05.2026 г.,TAX,SERVICE
Покупка продовольственных товаров,TAX,FOOD_GOODS
"Оплата по сч. 0344 от 28.08.2026 за пищев. добавку (890,50 ев.) курс 104,4016. В т.ч. НДС 20% - 15 494,94",TAX,FOOD_GOODS
Оплата за Ананасы Global Village кольца 580г по счету 10563059949153422430 от 04/07/2027г. Сумма 4900-00,TAX,FOOD_GOODS
"Оплата за кофе в зернах по счету 13224816219068868750 от 2023-09-06 Сумма 4130,00 в т.ч. НДС 20% 688,33",TAX,FOOD_GOODS
"Оплата по счет-фактуре 0192,0193,0194 от 06.03.2025 за фитинги,метизы.Сумма 25900.00 В т.ч. НДС 20% 4316.66",TAX,NON_FOOD_GOODS
"оплата по счетам 0382, 0204,0142, 0178 за услугиСумма 22.09.2028г.В т.ч. НДС(20%) 25000.00",TAX,SERVICE
Оплата по Договору №Е02041 от 13 декабря 2023 г. за акт 0347 транспортные услуги Сумма 42500.00Без налога(НДС),TAX,SERVICE
Лечение по договору №02301Г от 26 февраля 2026г,TAX,SERVICE
Оплата за Уксус Рестория яблочный 6% 500мл по счету 47999186621888697963 от 27.06.2023 Сумма 1150.00,TAX,FOOD_GOODS
"Оплата за ж/д, авиабилеты и проживание по счету 47609071263062583110 от 15/06/2027г. на основании договора №86-04049 от 2027.08.27",TAX,SERVICE
За бронирование отеля в г. Иваново по договору №21-01125Б от 2028.02.01,TAX,SERVICE
"Оплата по дог.финансовой аренды №84Е-03034 от 03.11.2024г., акт приема-передачи 715 от 04 июля 2024 г.. В т.ч. НДС(20%) 555000,0",TAX,LEASING
Долевое инвестирование в жилищное строительство,TAX,REAL_ESTATE
оплата по счёту № 0189 от 18.08.2028г. за транспортные услугиСумма 2570000-00В т.ч. НДС(20%) 428333-33,TAX,SERVICE
За участие в конференции в г. Миасс по договору б/н от 18.07.2026 г.,TAX,SERVICE
"Оплата за Средство чистящее Sanfor Белизна 3в1 многофункциональное 700г по счету 79711718719873039052 от 11 янавря 2023 Сумма 4040,00",TAX,NON_FOOD_GOODS
Оплата по счету 0098 от 01.12.2025 за Red Bull. Сумма 41800-00 без учета НДС,TAX,FOOD_GOODS
"Оплата по дог.финансовой аренды №14-04125В от 23 сентября 2024, акт приема-передачи 742 от 27 октября 2024. В т.ч. НДС(20%) 403333.33",TAX,LEASING
"оплата по счетам 0824, 0889,0834, 0140 за услугиСумма 19/08/2024г.В т.ч. НДС(20%) 20700,00",TAX,SERVICE
Оплата за Газета ТЕЛЕК PRESSA.RU по счету 72077344041803752862 от 05/03/2023 Сумма 2790.00,TAX,NON_FOOD_GOODS
"Оплата по договору №Г00616 от 28 января 2026г, счету 0523 от 28 января 2026г за ""Дымовские колбасы"".Сумма 4660000-00 В т.ч. НДС 20% 776666-66",TAX,FOOD_GOODS
Оплата за Мюсли Matti Банан и шоколад 250г по счету 42689526924298859119 от 15 декабря 2027г Сумма 3620-00,TAX,FOOD_GOODS
Счет на оплату № 0523 от 24 января 2024г.МКР для фильтрпресса. Сумма 31200.00В т.ч. НДС(20%) 5200.0,TAX,NON_FOOD_GOODS
Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н б/н,TAX,SERVICE
Оплата за Губка для обуви Econta черная 25г по счету 06288799891185339979 от 07 сентября 2023 Сумма 540.00,TAX,NON_FOOD_GOODS
"Оплата за Конфеты Frutzone Ананас, лимон, малина, черная смородина жевательные по счету 52760320108654233103 от 06 июня 2026г Сумма 4690,00",TAX,FOOD_GOODS
"Оплата по договору №Б04211 от 05.05.2023г., за сырьё для пищевой промышленности в т.ч. НДС 20% 251666.66",TAX,FOOD_GOODS
"Оплата по договору 95.310628-ВД от 11 мая 2027г, счету 0294 от 11 мая 2027г за ""Дымовские колбасы"".Сумма 1120000.00 В т.ч. НДС 20% 186666.66",TAX,FOOD_GOODS
{В681780}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 50640440478084101455,TAX,NOT_CLASSIFIED
Оплата по Договору №02803Е от 28 июля 2023 г.за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
"Оплата по сч. 493 от 04.11.2026, за транспортные услуги НДС не облагается.",TAX,SERVICE
Оплата за Шампунь и гель для душа Рексона men Мужской 2в1 горный лёд 490мл по счету 29102706048197277505 от 2027-04-10 Сумма 3090-00,TAX,NON_FOOD_GOODS
Оплата за Размещение рекламы по счету 49841077381099834911 от 28.04.2024 г.; Договор №63-00956В от 11.10.2025г.,TAX,SERVICE
Оплата по Договору 64.493127-ВГ от 2027.07.02 за акты 0297 и 0215 (транспортные услуги)Сумма 19500-00В т.ч. НДС(20%) 3250-00,TAX,SERVICE
"За транспортировку, перевозка грузовым транспортом из г. Домодедово в г. Электросталь по договору №233 от 2024.12.05",TAX,SERVICE
Оплата по договору №В02479 от 22.11.2027г. частичная оплата за картонСумма 25200-00В тч НДС(20%) 4200-00,TAX,NON_FOOD_GOODS
Оплата по счету #0560 от 02 июня 2023 г. за яхту/катер Midnight Express FL06354,TAX,NON_FOOD_GOODS
"Комиссия АКБ ""Первый банк"" (АО) за выдачу носителей ключей ЭП по системе ""Интернет-Клиент"". НДС не облагается",TAX,BANK_SERVICE
"Оплата за Цикорий Большая чашка черничный растворимый 85г по счету 67110569572684942000 от 28/10/2025г. Сумма 1850,00",TAX,FOOD_GOODS
Оплата за Средство для мытья посуды Fairy сочный лимон 450мл по счету 44093969034155312703 от 08 мая 2025 Сумма 1560.00,TAX,NON_FOOD_GOODS
Оплата за Порошок стиральный Ariel Color automat 3кг по счету 62209440936939539482 от 02.08.2028 Сумма 3990.00,TAX,NON_FOOD_GOODS
"Оплата по дог.финансовой аренды №245 от 19.12.2023, акт приема-передачи 949 от 17.12.2024 г.. В т.ч. НДС(20%) 298333,33",TAX,LEASING
Оплата по Договору №22-00135Е от 22.09.2025г.за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
оплата по договору №305 от 21/02/2026г. за ЖКТМСумма 4210000-00В т.ч. НДС(20%) 701666-66,TAX,REAL_ESTATE
За оказание услуг по договору №9-02529/51 от 14.04.2026г.,TAX,SERVICE
Оплата по Счету 0100 от 29.06.2024 г. за банковские сборы Сумма 4260.00 Без налога (НДС),TAX,BANK_SERVICE
За тур.поездку по договору №52Е-00605 от 27.12.2023,TAX,SERVICE
оплата по счёту № 0862 от 25 апреля 2025 за транспортные услугиСумма 4490000-00В т.ч. НДС(20%) 748333-33,TAX,SERVICE
Оплата за 500 штук новогодних шоколадных подарков по счету 0394 от 2027.08.11 .Сумма 36600.00 В т.ч. НДС 20% 6100.0,TAX,FOOD_GOODS
За участие в конференции в г. Волгоград по договору №52-03115 от 28 июня 2025,TAX,SERVICE
Оплата за Гречка Селяночка ядрица быстроразваривающаяся 5х80г по счету 32261809152263414081 от 02.07.2026 Сумма 520.00,TAX,FOOD_GOODS
Оплата за Салфетки Красная цена бумажные 24*24см 100шт по счету 83767225060168632303 от 20.04.2026г. Сумма 2330-00,TAX,NON_FOOD_GOODS
Лечение по договору №14-00293Д от 27 ноября 2027,TAX,SERVICE
Оплата за Огурцы Global Village корнишоны маринованные 720мл по счету 26332720784366345043 от 24.01.2024г Сумма 1690.00,TAX,FOOD_GOODS
За оказание услуг по договору №Д01178 от 16 апреля 2028г,TAX,SERVICE
{Д758629}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 11652747351961872916,TAX,BANK_SERVICE
"Оплата за насосы по договору №59Е-01912 от 24.01.2024г (частичная оплата).Сумма 4360000,00В тч НДС(20%) 726666,66",TAX,NON_FOOD_GOODS
Оплата коммунальных услуг,TAX,SERVICE
оплата по счёту № 0141 от 20 мая 2023г за транспортные услугиСумма 740000-00В т.ч. НДС(20%) 123333-33,TAX,SERVICE
"Оплата за Соль Экстра выварочная пищевая 500г по счету 91234047351389684696 от 22.10.2027 Сумма 3510,00",TAX,FOOD_GOODS
За консультации юриста по договору №01305Г от 20.01.2027 г.,TAX,SERVICE
Оплата за Мандарин мини по счету 47464460250177516308 от 08 ноября 2028г Сумма 1450.00,TAX,FOOD_GOODS
Оплата за Товары для ухода за автомобилем по счету 02810814872407377621 от 21.01.2026г. Сумма 3770.00,TAX,NON_FOOD_GOODS
Оплата за Аксессуары для стирки по счету 74023481519528893848 от 2023.02.03 Сумма 3400.00,TAX,NON_FOOD_GOODS
Оплата за Драже Skittles Фруктовый вкус 38г по счету 99150223571552922431 от 14 апреля 2023 Сумма 2590-00,TAX,FOOD_GOODS
Оплата за Лампочки по счету 42838616356091994020 от 28 декабря 2026г Сумма 1540-00,TAX,NON_FOOD_GOODS
"Оплата за ж/д, авиабилеты и проживание по счету 01651589969273568766 от 11/09/2023г. на основании договора №Б04759/97 от 22 января 2028",TAX,SERVICE
"За строительные работы по адресу г. Йошкар-Ола, Юбилейная ул., д. 23 по договору №Е-02078/41 от 30.04.2026г.",TAX,SERVICE
За оказание услуг по договору №268 от 26/08/2026,TAX,SERVICE
"Оплата за Горошек Global Village зеленый из мозговых сортов 400г по счету 85385678808445196054 от 08 июня 2026г Сумма 540,00",TAX,FOOD_GOODS
Оплата за Кофе в зернах Bushido Sensei 227г по счету 86555833735330657995 от 15.07.2023 Сумма 1880-00,TAX,FOOD_GOODS
За оказание услуг по договору №72-01761 от 11.07.2025,TAX,SERVICE
Оплата за Кешью Красная цена жареный 100г по счету 96252194042950920860 от 08/02/2025 Сумма 2340.00,TAX,FOOD_GOODS
Оплата за Желудки куриные Петелинка мышечные охлажденные 500г по счету 28615065535422431345 от 27/09/2025 Сумма 1120-00,TAX,FOOD_GOODS
Перевод собственных средств себе,TAX,NOT_CLASSIFIED
Оплата по сч. 0287 от 17.07.2028 г. за абхазсие мандарины. Сумма 29900.00 В т.ч. НДС 20% - 4983.33,TAX,FOOD_GOODS
"оплата по счёту № 0539 от 12.03.2027г за транспортные услугиСумма 3010000,00В т.ч. НДС(20%) 501666,66",TAX,SERVICE
"По предвариельному договору №29-00619Е от 11.01.2024г. за квартиру в ЖК по адресу г. Кемерово, Приозерная ул., д. 19",TAX,REAL_ESTATE
Оплата за Бумажные полотенца и салфетки по счету 90562703043865667648 от 31 марта 2027 Сумма 4840.00,TAX,NON_FOOD_GOODS
"оплата по счетам 0689, 0608,0943, 0077 за услугиСумма 24 марта 2023В т.ч. НДС(20%) 36800-00",TAX,SERVICE
"Оплата по Договору №Б03431/30 от 11.12.2027г за акт 0684 транспортные услуги Сумма 8600,00Без налога(НДС)",TAX,SERVICE
За тур.поездку по договору №57-03996 от 12.04.2028г.,TAX,SERVICE
{Г157047}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 75684112306771250832,TAX,NOT_CLASSIFIED
"Оплата по счетам 0352,0353,0354 от 23.07.2028 г. (за бетон марки М300)Сумма 26100,00 В т.ч. НДС 20% 4350,0",TAX,NON_FOOD_GOODS
"Оплата за Напиток кофейный Nescafé латте растворимый 18г по счету 77257457744258192315 от 22/11/2027 Сумма 1320,00",TAX,FOOD_GOODS
"Оплата за Бумага для выпечки Econta, 38смх8м по счету 40009813517696356999 от 14.02.2026 Сумма 3850,00",TAX,NON_FOOD_GOODS
Оплата за Ножки свиные замороженные по счету 84727914510617632157 от 20 января 2024г Сумма 1610-00,TAX,FOOD_GOODS
Предоставление креидта по договору №Б00733 от 26.05.2027 (приобретение товаров длительного пользования),TAX,BANK_SERVICE
За аренду машины/автомобиля по договору №04897В от 13 октября 2023,TAX,SERVICE
Оплата по договору №84-03321 от 17/12/2027г.. сырье для пвадСумма 3890000-00В т.ч. НДС(20%) 648333-33,TAX,NON_FOOD_GOODS
"Оплата за Порошок Dosia Optima Альпийская Свежесть для стирки 400г по счету 12152999993402377105 от 10 февраля 2027 г. Сумма 4500,00",TAX,NON_FOOD_GOODS
За бронирование отеля в г. Тамбов по договору №Д03139 от 22.04.2026 г.,TAX,SERVICE
Оплата по договору №02704А от 20.01.2025 г.. сырье для пвадСумма 3100000.00В т.ч. НДС(20%) 516666.66,TAX,NON_FOOD_GOODS
Оплата за Размещение рекламы по счету 24492598916094036728 от 05/05/2027; Договор №Г01400/67 от 29/07/2025,TAX,SERVICE
Оплата за Пятновыводитель Vanish Oxi Action для тканей 450мл по счету 15026850579382875097 от 17/02/2023 Сумма 800-00,TAX,NON_FOOD_GOODS
Оплата за Аэрозоль Mosquitall Профессиональная защита от всех насекомых 150мл по счету 85484535297631759116 от 06 февраля 2023г Сумма 2770.00,TAX,NON_FOOD_GOODS
Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №03836А,TAX,SERVICE
"оплата по счёту № 0804 от 06 января 2023г за транспортные услугиСумма 1890000,00В т.ч. НДС(20%) 315000,0",TAX,SERVICE
Оплата по Договору №97В-04261 от 09.10.2023за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
Оплата за Вафли Шарлиз Голландские с карамельной начинкой 290г по счету 99174960685167367029 от 11.07.2028г. Сумма 1250-00,TAX,FOOD_GOODS
Оплата за Чёрный чай по счету 83542906366767503937 от 2023-06-02 Сумма 4480.00,TAX,FOOD_GOODS
"Оплата по сч. 941 от 19.01.2023г, за транспортные услуги НДС не облагается.",TAX,SERVICE
За аренду машины/автомобиля по договору №21-01526 от 09.07.2023 г.,TAX,SERVICE
Оплата за Печень говяжья замороженная по счету 59394107787128147835 от 07/05/2026 Сумма 760-00,TAX,FOOD_GOODS
Оплата за Масло Санта Бремор Бутербродное лососевое 100г по счету 93063307166310028056 от 20.03.2023 Сумма 2970-00,TAX,FOOD_GOODS
"Оплата по сч. 0696 от 17.05.2027 г. за абхазсие мандарины. Сумма 24100,00 В т.ч. НДС 20% - 4016,66",TAX,FOOD_GOODS
Оплата за Бульон Maggi Золотой с курицей в кубиках 72г по счету 85514842491508034286 от 11.07.2023г Сумма 560.00,TAX,FOOD_GOODS
Оплата за Лампа Старт Eco LED Candle E14 7W теплый свет по счету 31792618425049756642 от 07.08.2023г Сумма 4350-00,TAX,NON_FOOD_GOODS
"Оплата за Конфеты Сладуница Шокорешки по счету 41544137013842736245 от 27.04.2025 г. Сумма 980,00",TAX,FOOD_GOODS
Лечение по договору №31Д-02374 от 08.05.2024 г.,TAX,SERVICE
Оплата за Яблоки Голден по счету 79905583275019916509 от 05.11.2025г. Сумма 3330.00,TAX,FOOD_GOODS
